"business_id","topic_1_Facilities","topic_2_Courses","topic_3_Service_and_Accessories","topic_4_Membership_and_Price","topic_5_Trainer","topic_6_Time","topic_7_Environment","topic_8_Other","weighted_stars","summary_0","summary_1","summary_2","summary_3","summary_4","summary_5","summary_6","summary_7","summary_8","summary_9","summary_10","summary_11","summary_12","summary_13","summary_14","summary_15","summary_16","summary_17","summary_18","summary_19","summary_20","summary_21","summary_22","summary_23","summary_24","summary_25","summary_26","summary_27","summary_28","summary_29","summary_30","summary_31","review_number_id"
61051,0.128571428571429,0,0.3,0,0,-0.1,0,0,5,7,2,2,3,0,0,0,0,5,2,1,2,1,0,0,1,1,0,0,1,2,1,1,0,0,0,0,0,14,0,0,14,4
175740,-0.0833333333333333,0.00219780219780219,-0.0222222222222222,-0.00476190476190476,0.0703703703703704,-0.0923076923076923,0,0,4.68787878787879,18,0,7,11,91,3,16,72,9,0,2,7,21,1,3,17,27,4,3,20,26,0,8,18,4,0,0,4,180,0,0,180,40
159360,-0.1,-0.02,0,0,0,0,2,0,4.86666666666667,2,0,1,1,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,12,3
142976,0.00256410256410257,-0.0333333333333333,0.0773584905660377,4.54182146437564e-18,0,-0.03,-0.02,0,2.72274143302181,39,3,13,23,9,1,2,6,53,10,12,31,55,6,11,38,0,0,0,0,60,3,17,40,10,2,3,5,453,0,0,453,51
175747,0.0818181818181818,0,-0.0875,0.16,0,0,0,0,3.84615384615385,11,2,1,8,0,0,0,0,8,0,3,5,5,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,26,0,0,26,5
118408,-0.0277777777777778,0,0.333333333333333,0.2,0,0.2,0,0,4.26153846153846,18,1,4,13,2,0,0,2,9,3,0,6,5,1,0,4,0,0,0,0,5,1,0,4,1,0,0,1,40,0,0,40,11
11915,0.181818181818182,-0.0176470588235294,-0.0285714285714286,0,-0.03,-0.0333333333333333,0,0,3.91724137931034,11,3,2,6,51,3,15,33,14,0,2,12,1,0,0,1,10,0,2,8,6,0,1,5,0,0,0,0,39,0,0,39,10
61078,-0.025,-0.0333333333333333,-0.04,-0.05,-0.0666666666666667,-0.18,-0.1,0,1.94029850746269,4,0,1,3,6,0,1,5,5,0,1,4,8,0,3,5,3,0,1,2,5,1,3,1,1,0,1,0,25,0,0,25,4
143005,0.05,0.0297297297297297,-0.0111111111111111,-0.00555555555555556,0.238461538461538,0.118181818181818,0.5,0,4.98297872340426,10,1,4,5,74,7,11,56,9,0,1,8,18,0,1,17,13,4,1,8,11,2,3,6,2,1,0,1,70,0,0,70,29
175793,0,0,1,0,0,0,0,0,4.4,1,0,0,1,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,6,3
118451,0.0168918918918919,0.0166666666666667,0.0764044943820225,1.86418045179597e-18,0.0153846153846154,-0.028125,-0.0409090909090909,0,3.38834951456311,148,15,28,105,96,4,10,82,89,11,16,62,134,11,24,99,13,1,4,8,64,5,14,45,22,3,10,9,446,0,0,446,106
28349,0.2,0,0,-0.05,0,-0.1,0,0,4.83870967741935,5,1,0,4,2,0,0,2,2,0,0,2,2,0,1,1,1,0,0,1,2,0,2,0,0,0,0,0,14,0,0,14,4
28350,-0.0235294117647059,0.05625,4.16333634234434e-18,-0.00769230769230769,0,-0.0666666666666667,0,0,3.92517006802721,17,0,4,13,16,1,1,14,20,1,5,14,13,1,1,11,0,0,0,0,6,0,2,4,1,0,0,1,49,0,0,49,10
184001,0.0304347826086956,0.0586206896551724,0.666666666666667,0,0.161538461538462,-0.0714285714285714,0,0,4.88111888111888,23,2,4,17,29,5,3,21,3,2,0,1,0,0,0,0,13,4,1,8,7,0,3,4,0,0,0,0,25,0,0,25,12
85703,0.25,0,-0.166666666666667,-0.0142857142857143,0.05,0,0,0,4.75757575757576,4,1,0,3,1,0,0,1,3,0,1,2,7,1,2,4,2,1,0,1,2,0,0,2,0,0,0,0,17,0,0,17,6
110281,-0.1,0.02,0,0,0.18,0,0,0,5,3,0,2,1,20,2,5,13,1,0,0,1,2,0,0,2,5,1,1,3,0,0,0,0,0,0,0,0,24,0,0,24,7
11978,-0.025,0,-0.05,-0.171428571428571,0,0,0,0,2.82758620689655,4,0,1,3,3,0,0,3,4,0,2,2,7,0,2,5,0,0,0,0,1,0,0,1,1,0,0,1,17,0,0,17,7
20171,-0.0272727272727273,-0.0666666666666667,0.0538461538461538,-0.0037037037037037,0.0909090909090909,-0.0333333333333333,-0.0333333333333333,0,2.3921568627451,22,0,4,18,6,0,2,4,13,2,3,8,27,1,6,20,11,1,0,10,9,0,1,8,3,0,1,2,73,0,0,73,20
3792,-0.1,0.0739130434782609,0,0.166666666666667,0,-0.06,0,0,5,3,0,2,1,23,4,5,14,3,0,0,3,3,1,1,1,3,0,0,3,5,0,3,2,0,0,0,0,37,0,0,37,4
77528,-0.0142857142857143,0.0239130434782609,0.2375,0.095,0.0692307692307692,-0.032,0,0,4.25506072874494,7,0,1,6,46,1,7,38,8,2,1,5,40,6,6,28,13,1,1,11,25,0,4,21,5,0,0,5,171,0,0,171,29
28378,-0.00714285714285714,0,0,-0.0428571428571429,0,0,0,0,1.44615384615385,14,2,2,10,1,0,0,1,3,0,0,3,14,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,3
167653,0,-0.05,-0.0125,0,0,0,0,0,3.08823529411765,2,0,0,2,2,0,1,1,8,1,1,6,4,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,9,0,0,9,6
167654,-0.02,-0.0111111111111111,-0.08,-0.06,0.142857142857143,-0.05,0,0,4.57142857142857,5,0,1,4,27,1,3,23,5,0,2,3,15,0,2,13,7,1,0,6,4,0,1,3,2,0,0,2,53,0,0,53,17
69353,-0.0209302325581395,-0.06,0.0833333333333334,0.04,0,-0.05,-0.1,0,3.52272727272727,43,2,5,36,5,0,2,3,24,3,4,17,25,3,2,20,1,0,0,1,14,1,2,11,4,0,2,2,77,0,0,77,20
69365,0.0815789473684211,0.00810810810810811,0.263636363636364,0,0,-0.03,-0.1,0,4.35779816513761,38,5,4,29,37,2,6,29,11,3,1,7,7,0,0,7,2,0,0,2,10,0,2,8,1,0,1,0,71,0,0,71,20
134903,-0.0147058823529412,0.0875,0.241666666666667,-0.0333333333333333,0.428571428571429,-0.0125,0,0,4.63157894736842,34,1,6,27,24,3,4,17,12,2,1,9,3,0,1,2,7,3,0,4,8,1,2,5,2,0,0,2,59,0,0,59,17
110330,0.0177606177606178,0.0229885057471264,0.00483870967741935,-0.0175510204081633,0.0264705882352941,-0.019327731092437,-0.1,0,3.52092352092352,259,18,38,203,174,12,34,128,248,19,68,161,245,9,53,183,34,3,4,27,119,3,21,95,12,0,6,6,951,0,0,951,224
44798,0,-0.0166666666666667,0,-0.1,0,0,0,0,5,0,0,0,0,6,0,1,5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,10,4
159494,0,0,2,0,0,0,0,0,4,2,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,0,8,3
85769,-0.05,-0.0352941176470588,0.225,-0.0125,-0.02,0.125,0,0,3.9041095890411,2,0,1,1,17,0,4,13,4,1,0,3,8,0,1,7,5,0,1,4,8,1,0,7,0,0,0,0,37,0,0,37,7
126734,0,-0.025,0,0,0,0,0,0,5,1,0,0,1,4,0,1,3,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,0,0,9,0,0,9,3
192284,-0.0206896551724138,0.075,-0.00416666666666666,0.0411764705882353,-0.05,-0.0272727272727273,-0.1,0,2.72677595628415,29,3,8,18,8,1,2,5,24,2,7,15,17,2,2,13,2,0,1,1,22,1,5,16,1,0,1,0,79,0,0,79,21
192291,-0.02,0,0.3,-0.1,0,0,0,0,4.45454545454545,10,1,2,7,2,0,0,2,3,1,1,1,1,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,11,0,0,11,6
12068,0,0.0125,0,0,0,0,0,0,5,0,0,0,0,8,1,0,7,3,0,0,3,2,0,0,2,2,0,0,2,6,1,2,3,0,0,0,0,13,0,0,13,7
3881,-0.0166666666666667,-0.1,0.01,-0.075,0,0.0166666666666667,0,0,2.73846153846154,6,0,1,5,3,1,2,0,10,2,2,6,8,0,3,5,1,0,0,1,6,1,1,4,0,0,0,0,25,0,0,25,8
61229,0.129268292682927,-0.020952380952381,0.0666666666666667,0.025,0.158333333333333,0.0666666666666667,0.375,0,4.79824561403509,41,8,1,32,105,4,22,79,18,2,0,16,8,1,0,7,24,5,3,16,12,2,2,8,4,2,1,1,144,0,0,144,52
175917,-0.0122641509433962,0.10625,0.0324110671936759,-0.025,-0.05,0.0355828220858896,0.0615384615384615,0,3.76985040276179,106,5,29,72,16,2,2,12,253,23,69,161,28,1,4,23,2,0,1,1,163,13,24,126,26,4,8,14,1012,0,0,1012,146
167737,0.0166666666666667,0.24,0,0,0,0,0,0,4.43181818181818,12,1,0,11,5,2,0,3,2,0,0,2,1,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,13,0,0,13,7
126777,0.0105263157894737,0,0.4,-0.0285714285714286,0.5,0,0,0,3,19,1,4,14,8,1,1,6,5,2,0,3,14,0,2,12,2,1,0,1,14,1,1,12,0,0,0,0,62,0,0,62,16
184124,0,0,0.1,0,-0.233333333333333,0.05,0,0,3.04347826086957,2,0,0,2,0,0,0,0,9,2,1,6,2,0,0,2,3,0,2,1,2,1,0,1,0,0,0,0,14,0,0,14,7
28478,-0.0384615384615385,0,-9.25185853854297e-18,0,0,-0.0666666666666667,-0.04,0,2.2093023255814,13,1,4,8,2,0,0,2,6,1,2,3,1,0,0,1,0,0,0,0,3,0,1,2,5,0,1,4,47,0,0,47,5
143166,0.171428571428571,-0.05,-0.075,0.01,-0.0857142857142857,-0.0133333333333333,0,0,3.45502645502645,7,2,1,4,64,4,17,43,4,0,1,3,20,1,4,15,14,3,5,6,15,2,2,11,1,0,0,1,145,0,0,145,22
151358,-0.0141025641025641,-0.00795454545454546,-0.0025,-0.0296296296296296,-0.1,-0.0326086956521739,-0.0153846153846154,0,2.42126789366053,156,11,41,104,88,4,22,62,80,7,20,53,108,0,18,90,16,1,6,9,46,4,10,32,13,0,2,11,363,0,0,363,78
77646,0,0.0333333333333333,0,-0.05,0.025,0,0,0,5,5,0,0,5,9,2,0,7,2,0,0,2,2,0,1,1,4,1,1,2,2,0,0,2,0,0,0,0,23,0,0,23,9
28495,0.0666666666666667,0.075,0,-0.075,-0.05,-0.275,0,0,5,6,1,3,2,8,3,2,3,3,0,0,3,4,0,1,3,4,0,2,2,4,0,3,1,0,0,0,0,17,0,0,17,4
20313,-0.25,0.0666666666666667,0.123076923076923,-0.0166666666666667,0.18,0,0,0,3.30927835051546,2,0,2,0,27,1,2,24,13,2,4,7,6,0,1,5,5,1,1,3,5,0,0,5,0,0,0,0,55,0,0,55,16
94043,0.0833333333333333,-0.0125,-0.05,-0.00769230769230769,0,0,0,0,3.87912087912088,12,1,0,11,8,0,1,7,4,0,2,2,13,1,2,10,3,0,0,3,5,1,2,2,3,0,0,3,34,0,0,34,11
